Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",7129025,100.0,100.0
All By changed lines,Google,1,"",4342980,60.92,60.92
By changed lines,Google,1,pkg,1210737,27.878,16.983
By changed lines,Google,1,staging,821084,18.906,11.517
By changed lines,Google,1,staging/src/k8s.io,820821,18.9,11.514
By changed lines,Google,1,staging/src/k8s.io/client-go,794841,18.302,11.149
By changed lines,Google,1,third_party,731124,16.835,10.256
By changed lines,Google,1,third_party/src,440923,10.153,6.185
By changed lines,Google,1,third_party/src/code.google.com/p,412557,9.499,5.787
By changed lines,Google,1,third_party/src/code.google.com/p/google-api-go-client,377868,8.701,5.3
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor,304493,7.011,4.271
By changed lines,Google,1,api,303489,6.988,4.257
By changed lines,Google,1,staging/src/k8s.io/client-go/1.4,236185,5.438,3.313
By changed lines,Google,1,pkg/ui,201167,4.632,2.822
By changed lines,Google,1,release-0.20.0,190262,4.381,2.669
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5,182961,4.213,2.566
By changed lines,Google,1,pkg/kubelet,179917,4.143,2.524
By changed lines,Google,1,test,178635,4.113,2.506
By changed lines,Google,1,pkg/client,174460,4.017,2.447
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/golang.org/x,173450,3.994,2.433
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor,169743,3.908,2.381
By changed lines,Google,1,pkg/api,166890,3.843,2.341
By changed lines,Google,1,docs,164200,3.781,2.303
By changed lines,Google,1,api/swagger-spec,154513,3.558,2.167
All By changed lines,Red Hat,2,"",1194962,16.762,16.762
By changed lines,Red Hat,2,pkg,662410,55.434,9.292
By changed lines,Red Hat,2,staging,160617,13.441,2.253
By changed lines,Red Hat,2,staging/src/k8s.io,160240,13.41,2.248
By changed lines,Red Hat,2,pkg/client,134679,11.271,1.889
By changed lines,Red Hat,2,staging/src/k8s.io/client-go,87330,7.308,1.225
By changed lines,Red Hat,2,pkg/api,76172,6.374,1.068
By changed lines,Red Hat,2,api,72510,6.068,1.017
By changed lines,Red Hat,2,pkg/kubectl,62425,5.224,0.876
By changed lines,Red Hat,2,pkg/controller,57323,4.797,0.804
By changed lines,Red Hat,2,docs,56679,4.743,0.795
By changed lines,Red Hat,2,test,56380,4.718,0.791
By changed lines,Red Hat,2,pkg/kubelet,54419,4.554,0.763
By changed lines,Red Hat,2,contrib,54217,4.537,0.761
By changed lines,Red Hat,2,api/swagger-spec,49004,4.101,0.687
By changed lines,Red Hat,2,pkg/registry,43154,3.611,0.605
By changed lines,Red Hat,2,contrib/mesos,41584,3.48,0.583
By changed lines,Red Hat,2,plugin,41493,3.472,0.582
By changed lines,Red Hat,2,plugin/pkg,41086,3.438,0.576
By changed lines,Red Hat,2,pkg/apis,40599,3.398,0.569
By changed lines,Red Hat,2,contrib/mesos/pkg,38412,3.214,0.539
By changed lines,Red Hat,2,test/e2e,38174,3.195,0.535
By changed lines,Red Hat,2,pkg/kubectl/cmd,36275,3.036,0.509
By changed lines,Red Hat,2,staging/src/k8s.io/client-go/_vendor,34558,2.892,0.485
By changed lines,Red Hat,2,staging/src/k8s.io/apimachinery,33775,2.826,0.474
All By changed lines,Self,3,"",460556,6.46,6.46
By changed lines,Self,3,third_party,378961,82.283,5.316
By changed lines,Self,3,third_party/src,378834,82.256,5.314
By changed lines,Self,3,third_party/src/code.google.com/p,353027,76.652,4.952
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client,352788,76.6,4.949
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/compute,59431,12.904,0.834
By changed lines,Self,3,pkg,31974,6.942,0.449
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/adsense,25168,5.465,0.353
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/youtube,19550,4.245,0.274
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/compute/v1beta16,17847,3.875,0.25
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/compute/v1beta15,17144,3.722,0.24
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/youtube/v3,16012,3.477,0.225
By changed lines,Self,3,cluster,15494,3.364,0.217
By changed lines,Self,3,third_party/src/github.com,15221,3.305,0.214
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/dfareporting,14567,3.163,0.204
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/google-api-go-generator,14493,3.147,0.203
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/analytics,13030,2.829,0.183
By changed lines,Self,3,cmd,12932,2.808,0.181
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/google-api-go-generator/testdata,12853,2.791,0.18
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/admin,12156,2.639,0.171
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/drive,11930,2.59,0.167
By changed lines,Self,3,cmd/kubeadm,11929,2.59,0.167
By changed lines,Self,3,cmd/kubeadm/app,11912,2.586,0.167
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/analytics/v3,11862,2.576,0.166
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/storage,11043,2.398,0.155
All By changed lines,Kismatic,4,"",248768,3.49,3.49
By changed lines,Kismatic,4,third_party/ui/bower_components,178902,71.915,2.509
By changed lines,Kismatic,4,third_party/ui/bower_components/angular-material,57337,23.048,0.804
By changed lines,Kismatic,4,www,46088,18.526,0.646
By changed lines,Kismatic,4,third_party/ui/bower_components/angular-material/modules,38095,15.313,0.534
By changed lines,Kismatic,4,third_party/ui/bower_components/angular,26697,10.732,0.374
By changed lines,Kismatic,4,third_party/ui/bower_components/angular/angular.js,26309,10.576,0.369
By changed lines,Kismatic,4,pkg/ui,23646,9.505,0.332
By changed lines,Kismatic,4,www/master,23251,9.346,0.326
By changed lines,Kismatic,4,www/app,21121,8.49,0.296
By changed lines,Kismatic,4,third_party/ui/bower_components/modernizr,19328,7.769,0.271
By changed lines,Kismatic,4,third_party/ui/bower_components/lodash,19155,7.7,0.269
By changed lines,Kismatic,4,third_party/ui/bower_components/jquery,19144,7.696,0.269
By changed lines,Kismatic,4,third_party/ui/bower_components/lodash/dist,19077,7.669,0.268
By changed lines,Kismatic,4,pkg/ui/datafile.go,18707,7.52,0.262
