rank_number,actor,commits,percent,cumulative_sum,cumulative_percent,all_commits
1,mhevery,32741,11.28747,32741,11.28747,290065
2,matsko,13520,4.66102,46261,15.94849,290065
3,IgorMinar,12724,4.38660,58985,20.33510,290065
4,kara,10970,3.78191,69955,24.11701,290065
5,alxhub,10888,3.75364,80843,27.87065,290065
6,AndrewKushnir,9577,3.30167,90420,31.17232,290065
7,levitte,9236,3.18411,99656,34.35644,290065
8,stephentoub,8692,2.99657,108348,37.35301,290065
9,vicb,8024,2.76628,116372,40.11928,290065
10,jasonaden,7839,2.70250,124211,42.82178,290065
11,XhmikosR,6310,2.17537,130521,44.99716,290065
12,cowtowncoder,4829,1.66480,135350,46.66196,290065
13,alexeagle,4613,1.59033,139963,48.25229,290065
14,petebacondarwin,4321,1.48967,144284,49.74195,290065
15,dougwilson,4311,1.48622,148595,51.22817,290065
16,benlesh,4038,1.39210,152633,52.62027,290065
17,jdalton,3757,1.29523,156390,53.91550,290065
18,mdo,3454,1.19077,159844,55.10627,290065
19,chuckjaz,2611,0.90014,162455,56.00641,290065
20,tbosch,2176,0.75018,164631,56.75659,290065
21,gaearon,2163,0.74569,166794,57.50228,290065
22,gkalpak,2153,0.74225,168947,58.24453,290065
23,Johann-S,2026,0.69846,170973,58.94300,290065
24,zloirock,2026,0.69846,172999,59.64146,290065
25,mattcaswell,1684,0.58056,174683,60.22202,290065
26,pkozlowski-opensource,1675,0.57746,176358,60.79948,290065
27,crisbeto,1535,0.52919,177893,61.32867,290065
28,cvrebert,1466,0.50540,179359,61.83407,290065
29,MartijnCuppens,1396,0.48127,180755,62.31534,290065
30,epoberezkin,1343,0.46300,182098,62.77834,290065
31,bgrainger,1337,0.46093,183435,63.23927,290065
32,cpovirk,1272,0.43852,184707,63.67780,290065
33,vikerman,1262,0.43507,185969,64.11287,290065
34,danmosemsft,1260,0.43439,187229,64.54726,290065
35,lrytz,1199,0.41336,188428,64.96061,290065
36,Narretz,1197,0.41267,189625,65.37328,290065
37,cgdecker,1145,0.39474,190770,65.76802,290065
38,LutzJaenicke,1116,0.38474,191886,66.15276,290065
39,safern,1092,0.37647,192978,66.52923,290065
40,richsalz,1036,0.35716,194014,66.88639,290065
41,jkotas,976,0.33648,194990,67.22286,290065
42,zpao,963,0.33199,195953,67.55486,290065
43,ViktorHofer,940,0.32407,196893,67.87892,290065
44,PaulGap,917,0.31614,197810,68.19506,290065
45,adriaanm,913,0.31476,198723,68.50982,290065
46,rprouse,895,0.30855,199618,68.81837,290065
47,retronym,874,0.30131,200492,69.11968,290065
48,JamesNK,865,0.29821,201357,69.41789,290065
49,bcoe,852,0.29373,202209,69.71162,290065
50,timdorr,844,0.29097,203053,70.00259,290065
51,dot-asm,823,0.28373,203876,70.28632,290065
52,CharliePoole,811,0.27959,204687,70.56591,290065
53,weshaggard,770,0.26546,205457,70.83137,290065
54,christopherthielen,746,0.25718,206203,71.08855,290065
55,patrickhlauke,730,0.25167,206933,71.34022,290065
56,atscott,728,0.25098,207661,71.59120,290065
57,ceki,726,0.25029,208387,71.84148,290065
58,patrickkettner,720,0.24822,209107,72.08970,290065
59,jeffbcross,719,0.24788,209826,72.33758,290065
60,xzyfer,692,0.23857,210518,72.57615,290065
61,JonHanna,677,0.23340,211195,72.80954,290065
62,vsavkin,673,0.23202,211868,73.04156,290065
63,SethTisue,664,0.22891,212532,73.27047,290065
64,sindresorhus,664,0.22891,213196,73.49939,290065
65,fellows3,654,0.22547,213850,73.72485,290065
66,hughbe,638,0.21995,214488,73.94481,290065
67,bartonjs,627,0.21616,215115,74.16096,290065
68,bvaughn,627,0.21616,215742,74.37712,290065
69,spicyj,627,0.21616,216369,74.59328,290065
70,jnm2,612,0.21099,216981,74.80427,290065
71,acdlite,564,0.19444,217545,74.99871,290065
72,aearly,554,0.19099,218099,75.18970,290065
73,davidsh,541,0.18651,218640,75.37621,290065
74,ericstj,527,0.18168,219167,75.55789,290065
75,mlaval,517,0.17824,219684,75.73613,290065
76,mellinoe,516,0.17789,220200,75.91402,290065
77,mprobst,508,0.17513,220708,76.08915,290065
78,petkaantonov,487,0.16789,221195,76.25705,290065
79,rkirov,482,0.16617,221677,76.42322,290065
80,ichernev,468,0.16134,222145,76.58456,290065
81,jelbourn,468,0.16134,222613,76.74590,290065
82,mjackson,467,0.16100,223080,76.90690,290065
83,ariya,447,0.15410,223527,77.06100,290065
84,ahsonkhan,440,0.15169,223967,77.21269,290065
85,indexzero,428,0.14755,224395,77.36025,290065
86,kennethreitz,419,0.14445,224814,77.50470,290065
87,megawac,413,0.14238,225227,77.64708,290065
88,filipesilva,404,0.13928,225631,77.78636,290065
89,maxokorokov,401,0.13824,226032,77.92460,290065
90,bernd-edlinger,398,0.13721,226430,78.06181,290065
91,isaacs,398,0.13721,226828,78.19902,290065
92,joperezr,396,0.13652,227224,78.33555,290065
93,ellismg,395,0.13618,227619,78.47172,290065
94,tarekgh,392,0.13514,228011,78.60686,290065
95,VSadov,392,0.13514,228403,78.74201,290065
96,sebmarkbage,373,0.12859,228776,78.87060,290065
97,ocombe,371,0.12790,229147,78.99850,290065
98,btford,368,0.12687,229515,79.12537,290065
99,knalli,363,0.12514,229878,79.25051,290065
100,rzwitserloot,358,0.12342,230236,79.37393,290065
101,JeremyKuhne,354,0.12204,230590,79.49598,290065
102,jimfb,345,0.11894,230935,79.61491,290065
103,karelz,339,0.11687,231274,79.73178,290065
104,wtgodbe,335,0.11549,231609,79.84728,290065
105,evmar,334,0.11515,231943,79.96242,290065
106,kyliau,332,0.11446,232275,80.07688,290065
107,ianhays,325,0.11204,232600,80.18892,290065
108,mgol,318,0.10963,232918,80.29855,290065
109,davegandy,316,0.10894,233234,80.40749,290065
110,hueniverse,315,0.10860,233549,80.51609,290065
111,JiaLiPassion,315,0.10860,233864,80.62469,290065
112,PascalSchumacher,312,0.10756,234176,80.73225,290065
113,garydgregory,309,0.10653,234485,80.83878,290065
114,Priya91,308,0.10618,234793,80.94496,290065
115,timmywil,307,0.10584,235100,81.05080,290065
116,simov,300,0.10343,235400,81.15422,290065
117,mzgol,296,0.10205,235696,81.25627,290065
118,Lukasa,287,0.09894,235983,81.35521,290065
119,Anipik,285,0.09825,236268,81.45347,290065
120,calvinmetcalf,282,0.09722,236550,81.55069,290065
121,ok2c,282,0.09722,236832,81.64791,290065
122,szeiger,277,0.09550,237109,81.74340,290065
123,rejas,275,0.09481,237384,81.83821,290065
124,jbogarthyde,272,0.09377,237656,81.93198,290065
125,scottgonzalez,271,0.09343,237927,82.02541,290065
126,juliemr,270,0.09308,238197,82.11849,290065
127,trueadm,269,0.09274,238466,82.21123,290065
