idx,company,n,percent
0,(All known 103),410295,99.9
1,Google,204481,49.8
2,Kismatic,96572,23.5
3,Red Hat,54047,13.2
4,Mesosphere,27729,6.8
5,CoreOS,5856,1.4
6,Huawei,5199,1.3
7,(Self),4593,1.1
8,eBay,2692,0.7
9,CERN,1618,0.4
10,Amazon,1374,0.3
11,Amadeus,1204,0.3
12,Docker,719,0.2
13,Slack,671,0.2
14,Tyk,577,0.1
15,Metaswitch,430,0.1
16,(Not Found),395,0.1
17,Square,273,0.1
18,Canonical,270,0.1
19,Weaveworks,226,0.1
20,CSE IIT KANPUR,218,0.1
21,ISI.nc,126,0.0
22,DrEd Online Doctor,124,0.0
23,Cisco,122,0.0
24,Apache,120,0.0
25,Juniper Networks,113,0.0
26,Petback,82,0.0
27,Box,70,0.0
28,Epic Games,69,0.0
29,Hyper.sh,68,0.0
30,UNINETT,61,0.0
31,ListHub,50,0.0
32,NHN,39,0.0
33,Jetstack,36,0.0
34,Whitepages,31,0.0
35,China Mobile International Limited,29,0.0
36,Connectifier,26,0.0
37,Transwarp,24,0.0
38,Revinate,23,0.0
39,nearForm,20,0.0
40,Heroku,19,0.0
41,Funio,19,0.0
42,wikiwi,17,0.0
43,AppAdhoc,14,0.0
44,WillCall,13,0.0
45,ChinaNetCenter,12,0.0
46,FACEIT,12,0.0
47,Walt Disney,11,0.0
48,Alternative Storage,10,0.0
49,Devops,10,0.0
50,Zesty.io,10,0.0
51,macys.com,8,0.0
52,SAP,8,0.0
53,Vungle,8,0.0
54,Singlewire Software,8,0.0
55,Naver,8,0.0
56,hackmh,7,0.0
57,Met Office Informatics Lab,6,0.0
58,Puppet,5,0.0
59,Shopify,5,0.0
60,Okori Group,5,0.0
61,Axway,4,0.0
62,Yahoo,4,0.0
63,Lohi Labs,4,0.0
64,Luxiar,4,0.0
65,Anadea inc.,4,0.0
66,Funky,4,0.0
67,Samsung,4,0.0
68,Über,3,0.0
69,"Collanthropy, LLC",3,0.0
70,Happy Dog Web Productions,3,0.0
71,volleylabs,3,0.0
72,Opsview Ltd,3,0.0
73,Virginia Tech,3,0.0
74,Facebook,3,0.0
75,wellcometrust,3,0.0
76,Wikimedia Foundation,3,0.0
77,Stack Exchange,3,0.0
78,Net EASE 网易有态度,3,0.0
79,GatsbyJS,3,0.0
80,Rochester Institute of Technology,3,0.0
81,Elastic,3,0.0
82,Readify,2,0.0
83,Microsoft,2,0.0
84,Apalia,2,0.0
85,Appear TV AS,2,0.0
86,Oblong Industries,2,0.0
87,Zendesk,1,0.0
88,SORINT.lab,1,0.0
89,Viacom,1,0.0
90,Ubisoft,1,0.0
91,MediaMath,1,0.0
92,ViaNett AS,1,0.0
93,CiscoSpark,1,0.0
94,Walmart,1,0.0
95,Agfa HealthCare,1,0.0
96,Voleo,1,0.0
97,Zalando,1,0.0
98,Univa,1,0.0
99,clypd,1,0.0
100,ADEO,1,0.0
101,iconectiv,1,0.0
102,"Eldarion, Inc.",1,0.0
103,Xoom,1,0.0
104,athenahealth,1,0.0
