idx,company,n,percent
0,(All known 79),452773,100.0
1,Google,310519,68.6
2,Red Hat,46724,10.3
3,Schuberg Philis,36434,8.0
4,CoreOS,14196,3.1
5,Microsoft,11582,2.6
6,Mirantis,6897,1.5
7,Hyper.sh,4147,0.9
8,"Embedded Systems, ECE",3013,0.7
9,Apache,3011,0.7
10,(Self),2682,0.6
11,Huawei,2479,0.5
12,Ammeon,1483,0.3
13,eBay,851,0.2
14,Juniper Networks,817,0.2
15,VMware,803,0.2
16,Net EASE 网易有态度,663,0.1
17,Weaveworks,539,0.1
18,Inovex,522,0.1
19,ZTE Corporation,518,0.1
20,Tigera,507,0.1
44,(Not Found),17,0.0
