idx,company,n,percent
0,(All known 81),499060,99.99
1,Google,321885,64.5
2,HP,61775,12.4
3,Red Hat,43483,8.7
4,CoreOS,30885,6.2
5,Huawei,9255,1.9
6,Apache,4086,0.8
7,IBM,3439,0.7
8,CERN,3153,0.6
9,GoGoVan,2905,0.6
10,Spec Deas HR Consulting,2012,0.4
11,Canonical,1971,0.4
12,eBay,1698,0.3
13,Microsoft,1588,0.3
14,Rook,1289,0.3
15,Tigera,1059,0.2
16,VMware,1005,0.2
17,FathomDB,706,0.1
18,Rackspace,703,0.1
19,Fujitsu,667,0.1
20,Docker,652,0.1
29,(Self),176,0.0
38,(Unknown),63,0.0
54,Gmail *,12,0.0
64,Outlook *,6,0.0
68,(Not Found),3,0.0
