idx,company,n,percent
0,(All known 148),737581,99.95
1,Google,330137,44.7
2,Red Hat,307901,41.7
3,Mesosphere,33037,4.5
4,Epic Games,18087,2.5
5,CoreOS,14256,1.9
6,Huawei,5169,0.7
7,FathomDB,3959,0.5
8,Clarifai,3826,0.5
9,Microsoft,3487,0.5
10,Docker,2413,0.3
11,Caicloud,1612,0.2
12,Diamanti,1511,0.2
13,Apache,1260,0.2
14,Net EASE 网易有态度,984,0.1
15,jobandtalent,830,0.1
16,Rook,825,0.1
17,(Self),791,0.1
18,Amadeus,654,0.1
19,Hyper.sh,594,0.1
20,Metaswitch,552,0.1
24,(Not Found),369,0.1
53,(Unknown),35,0.0
58,Gmail *,31,0.0
