Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",482982,100.0,100.0
All By changed lines,Google,1,"",272467,56.413,56.413
By changed lines,Google,1,docs,94798,34.792,19.628
By changed lines,Google,1,pkg,82577,30.307,17.097
By changed lines,Google,1,docs/man/man1,68793,25.248,14.243
By changed lines,Google,1,staging,33657,12.353,6.969
By changed lines,Google,1,staging/src/k8s.io,33622,12.34,6.961
By changed lines,Google,1,pkg/kubelet,24406,8.957,5.053
By changed lines,Google,1,api,15309,5.619,3.17
By changed lines,Google,1,test,13850,5.083,2.868
By changed lines,Google,1,staging/src/k8s.io/client-go,13817,5.071,2.861
By changed lines,Google,1,docs/user-guide/kubectl,13356,4.902,2.765
By changed lines,Google,1,pkg/controller,11526,4.23,2.386
By changed lines,Google,1,api/openapi-spec/swagger.json,11371,4.173,2.354
By changed lines,Google,1,docs/yaml/kubectl,11174,4.101,2.314
By changed lines,Google,1,pkg/cloudprovider,10726,3.937,2.221
By changed lines,Google,1,pkg/cloudprovider/providers,10699,3.927,2.215
By changed lines,Google,1,pkg/cloudprovider/providers/gce,10270,3.769,2.126
By changed lines,Google,1,pkg/api,9469,3.475,1.961
By changed lines,Google,1,staging/src/k8s.io/apimachinery,9327,3.423,1.931
By changed lines,Google,1,staging/src/k8s.io/apimachinery/pkg,9248,3.394,1.915
By changed lines,Google,1,pkg/kubelet/dockertools,8885,3.261,1.84
All By changed lines,Red Hat,2,"",93275,19.312,19.312
By changed lines,Red Hat,2,staging,32965,35.342,6.825
By changed lines,Red Hat,2,staging/src/k8s.io,32938,35.313,6.82
By changed lines,Red Hat,2,pkg,21621,23.18,4.477
By changed lines,Red Hat,2,api,15402,16.512,3.189
By changed lines,Red Hat,2,api/swagger-spec,12135,13.01,2.513
By changed lines,Red Hat,2,staging/src/k8s.io/apiserver,11620,12.458,2.406
By changed lines,Red Hat,2,staging/src/k8s.io/kube-apiextensions-server,11512,12.342,2.384
By changed lines,Red Hat,2,staging/src/k8s.io/apiserver/pkg,11409,12.232,2.362
By changed lines,Red Hat,2,test,10483,11.239,2.17
By changed lines,Red Hat,2,staging/src/k8s.io/kube-apiextensions-server/pkg,9988,10.708,2.068
By changed lines,Red Hat,2,test/e2e,5863,6.286,1.214
By changed lines,Red Hat,2,plugin,4853,5.203,1.005
By changed lines,Red Hat,2,plugin/pkg,4822,5.17,0.998
By changed lines,Red Hat,2,staging/src/k8s.io/apiserver/pkg/endpoints,4648,4.983,0.962
By changed lines,Red Hat,2,api/swagger-spec/batch_v2alpha1.json,4620,4.953,0.957
By changed lines,Red Hat,2,staging/src/k8s.io/kube-apiextensions-server/pkg/client,4580,4.91,0.948
By changed lines,Red Hat,2,federation,3927,4.21,0.813
By changed lines,Red Hat,2,pkg/kubectl,3853,4.131,0.798
By changed lines,Red Hat,2,staging/src/k8s.io/kube-aggregator,3559,3.816,0.737
By changed lines,Red Hat,2,staging/src/k8s.io/kube-aggregator/pkg,3541,3.796,0.733
By changed lines,Red Hat,2,staging/src/k8s.io/apiserver/pkg/server,3498,3.75,0.724
By changed lines,Red Hat,2,staging/src/k8s.io/client-go,3431,3.678,0.71
By changed lines,Red Hat,2,api/openapi-spec/swagger.json,3223,3.455,0.667
All By changed lines,VMware,3,"",24662,5.106,5.106
By changed lines,VMware,3,pkg,22360,90.666,4.63
By changed lines,VMware,3,pkg/generated/bindata.go,20316,82.378,4.206
By changed lines,VMware,3,pkg/cloudprovider/providers/vsphere,1806,7.323,0.374
By changed lines,VMware,3,test/e2e,1625,6.589,0.336
By changed lines,VMware,3,pkg/cloudprovider/providers/vsphere/vsphere.go,1406,5.701,0.291
By changed lines,VMware,3,test/e2e/storage,559,2.267,0.116
By changed lines,VMware,3,examples,440,1.784,0.091
By changed lines,VMware,3,examples/volumes/vsphere,438,1.776,0.091
By changed lines,VMware,3,examples/volumes/vsphere/README.md,347,1.407,0.072
By changed lines,VMware,3,test/e2e/storage/vsphere_volume_vsan_policy.go,339,1.375,0.07
By changed lines,VMware,3,test/e2e/vsphere_volume_placement.go,294,1.192,0.061
By changed lines,VMware,3,test/e2e/vsphere_volume_ops_storm.go,286,1.16,0.059
By changed lines,VMware,3,test/e2e/vsphere_volume_fstype.go,258,1.046,0.053
All By changed lines,Microsoft,4,"",17440,3.611,3.611
By changed lines,Microsoft,4,pkg,9678,55.493,2.004
By changed lines,Microsoft,4,pkg/generated/bindata.go,7059,40.476,1.462
By changed lines,Microsoft,4,translations,7003,40.155,1.45
By changed lines,Microsoft,4,translations/kubectl,6980,40.023,1.445
By changed lines,Microsoft,4,translations/kubectl/default/LC_MESSAGES/k8s.po,2732,15.665,0.566
By changed lines,Microsoft,4,translations/kubectl/en_US/LC_MESSAGES/k8s.po,2714,15.562,0.562
By changed lines,Microsoft,4,translations/kubectl/template.pot,1534,8.796,0.318
By changed lines,Microsoft,4,pkg/cloudprovider/providers/azure,1269,7.276,0.263
By changed lines,Microsoft,4,staging/src/k8s.io/client-go,600,3.44,0.124
By changed lines,Microsoft,4,pkg/kubelet,582,3.337,0.121
By changed lines,Microsoft,4,staging/src/k8s.io/client-go/plugin/pkg/client/auth,565,3.24,0.117
By changed lines,Microsoft,4,staging/src/k8s.io/client-go/plugin/pkg/client/auth/azure,563,3.228,0.117
All By changed lines,Heptio,5,"",7866,1.629,1.629
By changed lines,Heptio,5,pkg,4124,52.428,0.854
By changed lines,Heptio,5,pkg/kubelet/api/v1alpha1/runtime/api.pb.go,3626,46.097,0.751
By changed lines,Heptio,5,examples,2085,26.506,0.432
By changed lines,Heptio,5,examples/k8petstore,2084,26.494,0.431
By changed lines,Heptio,5,staging/src/k8s.io,957,12.166,0.198
By changed lines,Heptio,5,staging/src/k8s.io/client-go,762,9.687,0.158
By changed lines,Heptio,5,staging/src/k8s.io/client-go/pkg,702,8.924,0.145
By changed lines,Heptio,5,staging/src/k8s.io/client-go/pkg/api,660,8.391,0.137
By changed lines,Heptio,5,test,561,7.132,0.116
By changed lines,Heptio,5,test/e2e,554,7.043,0.115
By changed lines,Heptio,5,examples/k8petstore/web-server,529,6.725,0.11
By changed lines,Heptio,5,pkg/client/leaderelection,412,5.238,0.085
By changed lines,Heptio,5,examples/k8petstore/k8petstore-nodeport.sh,351,4.462,0.073
By changed lines,Heptio,5,examples/k8petstore/k8petstore-loadbalancer.sh,332,4.221,0.069
By changed lines,Heptio,5,examples/k8petstore/k8petstore.sh,324,4.119,0.067
By changed lines,Heptio,5,staging/src/k8s.io/client-go/pkg/api/v1,316,4.017,0.065
By changed lines,Heptio,5,examples/k8petstore/web-server/src,243,3.089,0.05
By changed lines,Heptio,5,pkg/client/leaderelection/leaderelection_test.go,232,2.949,0.048
All By changed lines,Self,6,"",6680,1.383,1.383
By changed lines,Self,6,pkg,2903,43.458,0.601
By changed lines,Self,6,cluster,1753,26.243,0.363
By changed lines,Self,6,cluster/juju/layers,1131,16.931,0.234
By changed lines,Self,6,pkg/cloudprovider,1128,16.886,0.234
By changed lines,Self,6,pkg/cloudprovider/providers/aws,1125,16.841,0.233
By changed lines,Self,6,staging/src/k8s.io,1033,15.464,0.214
By changed lines,Self,6,cluster/juju/layers/kubernetes-master,725,10.853,0.15
By changed lines,Self,6,cluster/images,580,8.683,0.12
By changed lines,Self,6,cluster/images/hyperkube,578,8.653,0.12
By changed lines,Self,6,pkg/controller,519,7.769,0.107
By changed lines,Self,6,staging/src/k8s.io/apiserver,514,7.695,0.106
By changed lines,Self,6,staging/src/k8s.io/apiserver/pkg,507,7.59,0.105
By changed lines,Self,6,staging/src/k8s.io/kube-apiextensions-server,492,7.365,0.102
By changed lines,Self,6,cmd,484,7.246,0.1
By changed lines,Self,6,staging/src/k8s.io/kube-apiextensions-server/test/integration,467,6.991,0.097
By changed lines,Self,6,pkg/controller/volume,422,6.317,0.087
By changed lines,Self,6,pkg/controller/volume/attachdetach,420,6.287,0.087
By changed lines,Self,6,staging/src/k8s.io/kube-apiextensions-server/test/integration/basic_test.go,413,6.183,0.086
By changed lines,Self,6,pkg/kubelet,407,6.093,0.084
By changed lines,Self,6,cluster/juju/layers/kubernetes-worker,406,6.078,0.084
All By changed lines,Huawei,7,"",5667,1.173,1.173
By changed lines,Huawei,7,federation,4399,77.625,0.911
By changed lines,Huawei,7,federation/pkg,4296,75.807,0.889
By changed lines,Huawei,7,federation/pkg/federation-controller,4137,73.002,0.857
By changed lines,Huawei,7,federation/pkg/federation-controller/service,3658,64.549,0.757
By changed lines,Huawei,7,federation/pkg/federation-controller/service/servicecontroller.go,1415,24.969,0.293
By changed lines,Huawei,7,pkg,790,13.94,0.164
By changed lines,Huawei,7,pkg/controller,481,8.488,0.1
By changed lines,Huawei,7,pkg/controller/service/servicecontroller_test.go,470,8.294,0.097
By changed lines,Huawei,7,federation/pkg/federation-controller/service/servicecontroller_test.go,405,7.147,0.084
By changed lines,Huawei,7,federation/pkg/federation-controller/util,371,6.547,0.077
By changed lines,Huawei,7,test,326,5.753,0.067
By changed lines,Huawei,7,federation/pkg/federation-controller/service/service_helper.go,303,5.347,0.063
By changed lines,Huawei,7,pkg/client/leaderelection,292,5.153,0.06
By changed lines,Huawei,7,pkg/client/leaderelection/leaderelection_test.go,280,4.941,0.058
By changed lines,Huawei,7,federation/pkg/federation-controller/service/dns.go,241,4.253,0.05
By changed lines,Huawei,7,federation/pkg/federation-controller/service/dns_test.go,222,3.917,0.046
By changed lines,Huawei,7,federation/pkg/federation-controller/service/cluster_helper.go,212,3.741,0.044
By changed lines,Huawei,7,test/e2e_federation,208,3.67,0.043
By changed lines,Huawei,7,federation/pkg/federation-controller/service/endpoint_helper.go,205,3.617,0.042
By changed lines,Huawei,7,federation/pkg/federation-controller/util/replicapreferences,194,3.423,0.04
By changed lines,Huawei,7,federation/pkg/federation-controller/service/endpoint_helper_test.go,173,3.053,0.036
