Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",1144497,100.0,100.0
All By changed lines,Google,1,"",572909,50.058,50.058
By changed lines,Google,1,staging,288971,50.439,25.249
By changed lines,Google,1,staging/src/k8s.io,288881,50.424,25.241
By changed lines,Google,1,staging/src/k8s.io/client-go,285335,49.805,24.931
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor,281780,49.184,24.62
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/golang.org/x,158300,27.631,13.831
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/golang.org/x/sys,107544,18.772,9.397
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/golang.org/x/sys/unix,107495,18.763,9.392
By changed lines,Google,1,pkg,105500,18.415,9.218
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/github.com,104669,18.27,9.145
By changed lines,Google,1,docs,77978,13.611,6.813
By changed lines,Google,1,docs/man/man1,55014,9.603,4.807
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/github.com/ugorji/go,53338,9.31,4.66
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/github.com/ugorji/go/codec,53316,9.306,4.658
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/github.com/ugorji/go/codec/fast-path.generated.go,39352,6.869,3.438
By changed lines,Google,1,pkg/kubelet,37530,6.551,3.279
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/golang.org/x/text,36658,6.399,3.203
By changed lines,Google,1,test,34250,5.978,2.993
By changed lines,Google,1,pkg/controller,25562,4.462,2.233
By changed lines,Google,1,test/e2e,20863,3.642,1.823
By changed lines,Google,1,pkg/kubelet/api,17115,2.987,1.495
By changed lines,Google,1,pkg/kubelet/api/v1alpha1,17078,2.981,1.492
All By changed lines,Red Hat,2,"",419786,36.679,36.679
By changed lines,Red Hat,2,pkg,201746,48.059,17.627
By changed lines,Red Hat,2,staging,126141,30.049,11.022
By changed lines,Red Hat,2,staging/src/k8s.io,125791,29.966,10.991
By changed lines,Red Hat,2,staging/src/k8s.io/client-go,83503,19.892,7.296
By changed lines,Red Hat,2,pkg/client,62571,14.905,5.467
By changed lines,Red Hat,2,api,34589,8.24,3.022
By changed lines,Red Hat,2,staging/src/k8s.io/client-go/_vendor,34558,8.232,3.019
By changed lines,Red Hat,2,staging/src/k8s.io/apimachinery,32343,7.705,2.826
By changed lines,Red Hat,2,staging/src/k8s.io/apimachinery/pkg,31505,7.505,2.753
By changed lines,Red Hat,2,staging/src/k8s.io/client-go/_vendor/k8s.io/apimachinery,26509,6.315,2.316
By changed lines,Red Hat,2,staging/src/k8s.io/client-go/_vendor/k8s.io/apimachinery/pkg,25098,5.979,2.193
By changed lines,Red Hat,2,staging/src/k8s.io/client-go/pkg,22949,5.467,2.005
By changed lines,Red Hat,2,api/openapi-spec/swagger.json,19443,4.632,1.699
By changed lines,Red Hat,2,pkg/controller,18582,4.427,1.624
By changed lines,Red Hat,2,cmd,17338,4.13,1.515
By changed lines,Red Hat,2,pkg/kubectl,16763,3.993,1.465
By changed lines,Red Hat,2,pkg/api,15256,3.634,1.333
By changed lines,Red Hat,2,api/swagger-spec,15146,3.608,1.323
By changed lines,Red Hat,2,pkg/util,14748,3.513,1.289
By changed lines,Red Hat,2,plugin,14281,3.402,1.248
By changed lines,Red Hat,2,plugin/pkg,14183,3.379,1.239
By changed lines,Red Hat,2,test,13913,3.314,1.216
All By changed lines,DEIS,3,"",41611,3.636,3.636
By changed lines,DEIS,3,docs,41449,99.611,3.622
By changed lines,DEIS,3,docs/proposals,16836,40.46,1.471
By changed lines,DEIS,3,docs/design,15329,36.839,1.339
By changed lines,DEIS,3,docs/devel,9284,22.311,0.811
By changed lines,DEIS,3,docs/design/architecture.svg,1943,4.669,0.17
By changed lines,DEIS,3,docs/devel/api-conventions.md,1350,3.244,0.118
By changed lines,DEIS,3,docs/design/indexed-job.md,900,2.163,0.079
By changed lines,DEIS,3,docs/devel/local-cluster,791,1.901,0.069
By changed lines,DEIS,3,docs/devel/api_changes.md,732,1.759,0.064
By changed lines,DEIS,3,docs/devel/e2e-tests.md,719,1.728,0.063
By changed lines,DEIS,3,docs/design/podaffinity.md,673,1.617,0.059
By changed lines,DEIS,3,docs/proposals/federation.md,648,1.557,0.057
By changed lines,DEIS,3,docs/design/secrets.md,628,1.509,0.055
By changed lines,DEIS,3,docs/design/downward_api_resources_limits_requests.md,622,1.495,0.054
By changed lines,DEIS,3,docs/proposals/disk-accounting.md,615,1.478,0.054
By changed lines,DEIS,3,docs/proposals/templates.md,569,1.367,0.05
By changed lines,DEIS,3,docs/proposals/multi-platform.md,532,1.279,0.046
By changed lines,DEIS,3,docs/design/volume-snapshotting.md,523,1.257,0.046
By changed lines,DEIS,3,docs/design/federated-services.md,517,1.242,0.045
By changed lines,DEIS,3,docs/design/federated-replicasets.md,513,1.233,0.045
By changed lines,DEIS,3,docs/proposals/volume-provisioning.md,500,1.202,0.044
By changed lines,DEIS,3,docs/proposals/rescheduling.md,493,1.185,0.043
By changed lines,DEIS,3,docs/proposals/volumes.md,482,1.158,0.042
By changed lines,DEIS,3,docs/proposals/protobuf.md,480,1.154,0.042
By changed lines,DEIS,3,docs/proposals/kubelet-eviction.md,462,1.11,0.04
All By changed lines,CoreOS,4,"",14591,1.275,1.275
By changed lines,CoreOS,4,cluster,7005,48.009,0.612
By changed lines,CoreOS,4,cluster/gce,5598,38.366,0.489
By changed lines,CoreOS,4,cluster/gce/coreos,5468,37.475,0.478
By changed lines,CoreOS,4,third_party/forked/etcd237,2752,18.861,0.24
By changed lines,CoreOS,4,test,2356,16.147,0.206
By changed lines,CoreOS,4,test/test_owners.csv,2295,15.729,0.201
By changed lines,CoreOS,4,third_party/forked/etcd237/wal,1709,11.713,0.149
By changed lines,CoreOS,4,cluster/gce/coreos/kube-manifests,1509,10.342,0.132
By changed lines,CoreOS,4,cluster/gce/coreos/configure-helper.sh,1479,10.136,0.129
By changed lines,CoreOS,4,cluster/mesos/docker,1323,9.067,0.116
By changed lines,CoreOS,4,plugin,1292,8.855,0.113
By changed lines,CoreOS,4,plugin/pkg,1220,8.361,0.107
By changed lines,CoreOS,4,cluster/gce/coreos/kube-manifests/addons,1133,7.765,0.099
By changed lines,CoreOS,4,third_party/forked/etcd237/pkg/fileutil,1042,7.141,0.091
By changed lines,CoreOS,4,pkg,1020,6.991,0.089
By changed lines,CoreOS,4,pkg/kubelet,662,4.537,0.058
By changed lines,CoreOS,4,plugin/pkg/client/auth/oidc,635,4.352,0.055
By changed lines,CoreOS,4,cluster/gce/coreos/kube-manifests/addons/cluster-monitoring,577,3.954,0.05
By changed lines,CoreOS,4,third_party/forked/etcd237/wal/wal.go,571,3.913,0.05
All By changed lines,Self,5,"",13307,1.163,1.163
By changed lines,Self,5,cmd,10983,82.536,0.96
By changed lines,Self,5,cmd/kubeadm,10337,77.681,0.903
By changed lines,Self,5,cmd/kubeadm/app,10321,77.561,0.902
By changed lines,Self,5,cmd/kubeadm/app/phases,3279,24.641,0.287
By changed lines,Self,5,cmd/kubeadm/app/master,2397,18.013,0.209
By changed lines,Self,5,cmd/kubeadm/app/cmd,1511,11.355,0.132
By changed lines,Self,5,cmd/kubeadm/app/phases/certs,1357,10.198,0.119
By changed lines,Self,5,pkg,1184,8.898,0.103
By changed lines,Self,5,cmd/kubeadm/app/util,877,6.591,0.077
By changed lines,Self,5,cmd/kubeadm/app/discovery,701,5.268,0.061
By changed lines,Self,5,cmd/kubeadm/app/phases/addons,672,5.05,0.059
By changed lines,Self,5,cmd/kubeadm/app/node,625,4.697,0.055
By changed lines,Self,5,cmd/kube-discovery,621,4.667,0.054
By changed lines,Self,5,cmd/kubeadm/app/phases/kubeconfig,597,4.486,0.052
By changed lines,Self,5,cmd/kubeadm/app/apis/kubeadm,539,4.05,0.047
By changed lines,Self,5,cmd/kube-discovery/app,534,4.013,0.047
By changed lines,Self,5,cmd/kubeadm/app/master/addons.go,448,3.367,0.039
By changed lines,Self,5,cmd/kubeadm/app/phases/kubeconfig/kubeconfig.go,445,3.344,0.039
By changed lines,Self,5,build,435,3.269,0.038
By changed lines,Self,5,build/build-image,408,3.066,0.036
By changed lines,Self,5,build/build-image/cross,406,3.051,0.035
By changed lines,Self,5,cmd/kubeadm/app/phases/token,392,2.946,0.034
By changed lines,Self,5,build/build-image/cross/golang-patches/CL28857-go1.7.1-luxas.patch,390,2.931,0.034
All By changed lines,Microsoft,6,"",12204,1.066,1.066
By changed lines,Microsoft,6,pkg,7584,62.144,0.663
By changed lines,Microsoft,6,pkg/generated,4441,36.39,0.388
By changed lines,Microsoft,6,pkg/generated/bindata.go,4437,36.357,0.388
By changed lines,Microsoft,6,translations,4302,35.251,0.376
By changed lines,Microsoft,6,translations/kubectl,4037,33.079,0.353
By changed lines,Microsoft,6,pkg/proxy,1932,15.831,0.169
By changed lines,Microsoft,6,pkg/proxy/winuserspace,1858,15.225,0.162
By changed lines,Microsoft,6,translations/kubectl/en_US/LC_MESSAGES/k8s.po,1622,13.291,0.142
By changed lines,Microsoft,6,translations/kubectl/default/LC_MESSAGES/k8s.po,1617,13.25,0.141
By changed lines,Microsoft,6,pkg/proxy/winuserspace/proxier.go,632,5.179,0.055
